disease,symptoms,treatment
Flu,"high temperature, hacking cough, throat pain, runny nose, body aches, profound fatigue, headache","rest, hydration, over-the-counter pain relievers, antiviral drugs"
Common Cold,"sneezing, nasal discharge, scratchy throat, congestion, mild cough, feeling unwell","rest, hydration, decongestants, vitamin C, throat lozenges"
COVID-19,"fever or chills, dry cough, tiredness, loss of taste or smell, shortness of breath, muscle aches, sore throat, headache","isolation, rest, fluids, medical attention if severe, antiviral medication like Paxlovid"
Migraine,"severe throbbing headache, nausea, vomiting, extreme sensitivity to light, extreme sensitivity to sound, seeing auras or flashing lights","pain relievers, triptans, dark quiet room, sleep, hydration"
Allergy (Hay Fever),"sneezing fits, itchy and watery eyes, runny or stuffy nose, itchy skin, rash, wheezing, post-nasal drip","antihistamines, avoid allergens, nasal corticosteroid sprays, allergy shots"
Asthma,"difficulty breathing, wheezing sound when exhaling, chest tightness or pain, coughing fits, especially at night or early morning","rescue inhaler (albuterol), long-term controller inhalers (corticosteroids), avoiding triggers"
Diabetes Mellitus Type 1,"extreme thirst (polydipsia), frequent urination (polyuria), unexplained weight loss, fatigue, blurred vision, slow-healing sores","lifelong insulin therapy, regular blood sugar monitoring, carbohydrate counting, diet management"
Diabetes Mellitus Type 2,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, numbness or tingling in hands or feet, frequent infections","diet management, exercise, oral medications (Metformin), insulin therapy, weight management"
Hypertension (High Blood Pressure),"often asymptomatic (silent killer), persistent headache, dizziness, nosebleeds, blurred vision, shortness of breath in severe cases","lifestyle changes (low-sodium diet, exercise, stress reduction), antihypertensive medication"
Heart Attack (Myocardial Infarction),"crushing chest pain or pressure, pain radiating to the left arm/jaw/back, shortness of breath, cold sweat, nausea, lightheadedness","emergency medical attention (call 911), aspirin, nitroglycerin, oxygen therapy, angioplasty or bypass surgery"
Stroke,"sudden numbness or weakness in the face, arm, or leg (especially on one side), sudden confusion, trouble speaking or understanding, sudden dizziness, loss of balance, sudden severe headache","emergency medical attention (call 911 immediately), clot-busting drugs (tPA), endovascular procedures, rehabilitation"
Malaria,"cycles of high fever, shaking chills, and profuse sweating, headache, muscle aches, fatigue, nausea, vomiting","antimalarial drugs (Artemisinin-based combination therapies), rest, hydration, paracetamol for fever"
Typhoid Fever,"prolonged high fever, severe weakness, stomach pain, headache, loss of appetite, rose-colored spots (rash)","antibiotics (Ciprofloxacin, Azithromycin), rehydration therapy, rest, soft diet"
Tuberculosis (TB),"persistent cough lasting more than 3 weeks (sometimes with blood), unintended weight loss, night sweats, fever, fatigue, chest pain","long course of multiple antibiotics (6-9 months), rest, good nutrition, isolation initially"
Hepatitis A,"fatigue, nausea, jaundice (yellowing skin/eyes), dark urine, clay-colored stool, abdominal pain, loss of appetite, low-grade fever","rest, hydration, avoiding alcohol, supportive care (usually resolves on its own), vaccination for prevention"
Hepatitis B,"fatigue, jaundice, dark urine, abdominal pain, nausea, joint pain, loss of appetite","antiviral medications for chronic cases, rest, avoiding alcohol, vaccination for prevention"
Hepatitis C,"often asymptomatic for years, fatigue, jaundice, dark urine, abdominal pain, nausea, poor appetite, spider-like blood vessels on skin","antiviral medications (DAAs) can cure most cases, liver monitoring, avoiding alcohol"
Dengue Fever,"sudden high fever, severe headache, pain behind the eyes, severe muscle and joint pain, rash, mild bleeding from nose or gums","rest, hydration, paracetamol for pain (avoid aspirin/ibuprofen), medical monitoring for warning signs"
Chikungunya,"abrupt onset of fever, severe and often debilitating joint pain, muscle pain, headache, nausea, rash, fatigue","pain relievers, anti-inflammatory drugs (NSAIDs), rest, hydration, physical therapy for joint pain"
Pneumonia,"sharp chest pain that worsens with deep breathing or coughing, productive cough with green/yellow phlegm, high fever, chills, shortness of breath","antibiotics (if bacterial), rest, plenty of fluids, oxygen therapy if severe"
Urinary Tract Infection (UTI),"burning sensation during urination, frequent and intense urge to urinate, passing small amounts of urine, cloudy or strong-smelling urine, pelvic pain","antibiotics, increased fluid intake, cranberry juice or supplements for prevention"
Gastroenteritis (Stomach Flu),"watery diarrhea, vomiting, nausea, stomach cramps and pain, low-grade fever, headache, muscle aches","rest, aggressive hydration (oral rehydration solutions), bland diet (BRAT: bananas, rice, applesauce, toast)"
Appendicitis,"sudden sharp pain that begins around the navel and shifts to the lower right abdomen, pain that worsens with coughing or walking, nausea, vomiting, loss of appetite, low-grade fever","emergency surgical removal of the appendix (appendectomy), antibiotics"
Gallstones (Cholelithiasis),"sudden and severe pain in the upper right abdomen, pain between shoulder blades, nausea, vomiting, indigestion, fever","pain management, cholecystectomy (gallbladder removal surgery), medication to dissolve stones"
Kidney Stones (Nephrolithiasis),"severe, sharp pain in the side and back below the ribs, pain that radiates to the lower abdomen and groin, painful urination, pink/red/brown urine, nausea and vomiting","pain medication, hydration to pass stones, medical procedures like lithotripsy or ureteroscopy to break up or remove stones"
Anemia (Iron Deficiency),"extreme fatigue, weakness, pale skin, shortness of breath, dizziness, headache, cold hands and feet, brittle nails","iron supplements, consuming iron-rich foods (red meat, spinach), addressing the underlying cause of blood loss"
Hypothyroidism,"unexplained fatigue, weight gain, increased sensitivity to cold, constipation, dry skin, thinning hair, depression, muscle weakness","thyroid hormone replacement therapy (levothyroxine)"
Hyperthyroidism,"unintentional weight loss, rapid or irregular heartbeat (palpitations), anxiety and irritability, tremors in hands, heat intolerance, increased sweating, frequent bowel movements","anti-thyroid medications, radioactive iodine therapy, beta-blockers, surgery"
Acne Vulgaris,"pimples, blackheads, whiteheads on face/neck/chest/back, oily skin, cysts or nodules in severe cases","topical treatments (retinoids, benzoyl peroxide, salicylic acid), oral medications (antibiotics, isotretinoin), good skincare hygiene"
Eczema (Atopic Dermatitis),"dry, itchy, red, and inflamed skin, small raised bumps that may leak fluid, thickened or cracked skin","moisturizers and emollients, topical corticosteroids, antihistamines for itching, avoiding triggers"
Psoriasis,"red, raised patches of skin with silvery scales, itching or burning sensation, dry and cracked skin that may bleed, pitted or thickened nails","topical treatments (corticosteroids, vitamin D analogs), phototherapy (light therapy), systemic medications, biologics"
Osteoarthritis,"aching joint pain that worsens with activity, stiffness (especially in the morning or after rest), reduced range of motion, grating sensation (crepitus)","pain relievers (acetaminophen, NSAIDs), physical therapy, weight management, joint injections, joint replacement surgery"
Rheumatoid Arthritis,"tender, warm, swollen joints (often symmetrical), joint stiffness worse in the morning, fatigue, fever, loss of appetite","disease-modifying antirheumatic drugs (DMARDs), biologic agents, NSAIDs, corticosteroids, physical therapy"
Fibromyalgia,"widespread musculoskeletal pain described as a dull ache, fatigue, sleep disturbances, cognitive difficulties ('fibro fog'), heightened sensitivity to pain","pain relievers, antidepressants, physical therapy, stress-reduction techniques (meditation, yoga)"
Irritable Bowel Syndrome (IBS),"chronic abdominal pain or cramping, bloating and gas, diarrhea or constipation (or alternating between both), mucus in the stool","dietary changes (low FODMAP diet), fiber supplements, stress management, antispasmodic medications"
Acid Reflux (GERD),"frequent heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of a lump in your throat, chronic cough","antacids, H2 blockers (famotidine), proton pump inhibitors (omeprazole), lifestyle changes (avoiding trigger foods, not lying down after eating)"
Peptic Ulcer Disease,"burning stomach pain, feeling of fullness, bloating or belching, fatty food intolerance, heartburn, nausea","medications to reduce stomach acid (PPIs), antibiotics to kill H. pylori bacteria, avoiding NSAIDs, alcohol, and spicy foods"
Glaucoma,"gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","prescription eye drops to lower eye pressure, laser therapy, microsurgery"
Cataracts,"cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","surgery to remove the cloudy lens and replace it with a clear, artificial intraocular lens (IOL)"
Sinusitis (Sinus Infection),"pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored nasal discharge, reduced sense of smell and taste, headache","nasal saline rinses, decongestants, pain relievers, warm compresses, antibiotics (if bacterial and persistent)"
Bronchitis (Acute),"persistent cough that produces mucus, chest soreness, fatigue, mild headache, body aches, sore throat","rest, plenty of fluids, humidifier, cough medicine, pain relievers (antibiotics are rarely needed)"
Cellulitis,"red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","oral or intravenous antibiotics, keeping the affected area elevated and clean"
Shingles (Herpes Zoster),"pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","antiviral drugs (acyclovir, valacyclovir), pain relievers, topical treatments for itching"
Lyme Disease,"bull's-eye rash (erythema migrans), fever, chills, fatigue, body aches, headache, neck stiffness","antibiotics (doxycycline, amoxicillin), supportive care for symptoms"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","nonsteroidal anti-inflammatory drugs (NSAIDs), colchicine, corticosteroids, lifestyle changes to lower uric acid"
Endometriosis,"painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","pain medication, hormone therapy (birth control pills), surgery to remove endometrial tissue"
Polycystic Ovary Syndrome (PCOS),"irregular menstrual periods, excess androgen (male hormone) levels causing excess facial and body hair, severe acne, and male-pattern baldness, polycystic ovaries","lifestyle changes (diet, exercise), hormonal birth control to regulate periods, medications to manage symptoms like hair growth or insulin resistance"
Mononucleosis (Mono),"extreme fatigue, fever, sore throat, swollen lymph nodes in neck and armpits, headache, skin rash, swollen spleen","rest, hydration, over-the-counter pain relievers (avoid aspirin), gargling with salt water"
Crohn's Disease,"diarrhea, fever, fatigue, abdominal pain and cramping, blood in stool, mouth sores, reduced appetite and weight loss","anti-inflammatory drugs, immune system suppressors, biologics, nutritional therapy, surgery"
Ulcerative Colitis,"diarrhea, often with blood or pus, abdominal pain and cramping, rectal pain, urgency to defecate, fatigue, weight loss","anti-inflammatory drugs (5-ASA), corticosteroids, immune suppressors, biologics, surgery (colectomy)"
Major Depressive Disorder,"persistent sad or empty mood, loss of interest or pleasure in activities, significant weight change, insomnia or hypersomnia, fatigue, feelings of worthlessness, difficulty concentrating, suicidal thoughts","psychotherapy (CBT, interpersonal therapy), antidepressant medications (SSRIs, SNRIs), lifestyle changes"
Generalized Anxiety Disorder,"excessive, uncontrollable worry about various topics, restlessness, feeling on edge, easily fatigued, difficulty concentrating, irritability, muscle tension, sleep disturbance","psychotherapy (CBT), anti-anxiety medications (SSRIs, buspirone), relaxation techniques"
Bipolar Disorder,"episodes of mania (high energy, racing thoughts, impulsivity) alternating with episodes of depression (low energy, sadness, hopelessness)","mood stabilizers (lithium, valproic acid), antipsychotics, antidepressants (used with caution), psychotherapy"
Obsessive-Compulsive Disorder (OCD),"recurrent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety, such as hand washing, checking, or counting","psychotherapy (Exposure and Response Prevention - ERP), SSRIs"
Panic Disorder,"recurrent unexpected panic attacks, which are abrupt surges of intense fear or discomfort, followed by persistent concern about having more attacks","psychotherapy (CBT), SSRIs, SNRIs, benzodiazepines (for short-term use)"
Schizophrenia,"hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized speech, disorganized or catatonic behavior, negative symptoms (lack of emotion, social withdrawal)","antipsychotic medications, psychotherapy, social skills training, family support"
Parkinson's Disease,"tremor at rest (pill-rolling), slowness of movement (bradykinesia), limb rigidity, gait and balance problems, shuffling walk","medications to increase dopamine (Levodopa), physical and occupational therapy, deep brain stimulation"
Alzheimer's Disease,"progressive memory loss, difficulty with problem-solving and planning, confusion with time or place, trouble understanding visual images, problems with words in speaking or writing, personality changes","medications to manage symptoms (cholinesterase inhibitors, memantine), supportive care, creating a safe environment"
Epilepsy,"recurrent, unprovoked seizures, which can manifest as temporary confusion, staring spells, uncontrollable jerking movements, or loss of consciousness","anti-seizure medications, vagus nerve stimulation, ketogenic diet, surgery to remove seizure focus"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, partial or complete loss of vision, tingling or pain, electric-shock sensations with neck movements, fatigue, dizziness, problems with bowel and bladder function","disease-modifying therapies (DMTs), corticosteroids for relapses, physical therapy, symptom management"
Systemic Lupus Erythematosus (Lupus),"fatigue, fever, joint pain, butterfly-shaped rash on the face, skin lesions that worsen with sun exposure, shortness of breath, chest pain, dry eyes","anti-inflammatory drugs (NSAIDs), antimalarial drugs (hydroxychloroquine), corticosteroids, immunosuppressants"
Meningitis (Bacterial),"sudden high fever, severe, persistent headache, stiff neck (nuchal rigidity), nausea, vomiting, confusion, sensitivity to light (photophobia)","immediate emergency medical attention, high-dose intravenous antibiotics"
Sepsis,"high heart rate, low blood pressure, fever or low body temperature, shivering, confusion or disorientation, shortness of breath, extreme pain or discomfort, clammy or sweaty skin","immediate emergency medical attention, broad-spectrum antibiotics, intravenous fluids, vasopressors to support blood pressure"
Chickenpox (Varicella),"itchy rash of small, fluid-filled blisters, fever, loss of appetite, headache, tiredness","supportive care, calamine lotion and oatmeal baths for itching, pain relievers (avoid aspirin in children), antiviral medication for high-risk individuals"
Pancreatitis (Acute),"upper abdominal pain that radiates to your back, abdominal pain that feels worse after eating, fever, rapid pulse, nausea, vomiting, tenderness when touching the abdomen","hospitalization for IV fluids, pain medication, bowel rest (no food by mouth), treating the underlying cause"
Deep Vein Thrombosis (DVT),"swelling in the affected leg, pain or tenderness in the leg, a feeling of warmth in the area, red or discolored skin on the leg","anticoagulant medications (blood thinners), thrombolytics, compression stockings"
Peripheral Artery Disease (PAD),"painful cramping in your hip, thigh or calf muscles after activity (claudication), leg numbness or weakness, coldness in your lower leg or foot, sores on your toes, feet or legs that won't heal","lifestyle changes (smoking cessation, exercise), medications to lower cholesterol and blood pressure, angioplasty or bypass surgery"
Rosacea,"facial redness and flushing, visible small blood vessels, red bumps or pimples, eye irritation, thickened skin (rhinophyma)","topical medications, oral antibiotics, laser therapy, avoiding triggers (sun, spicy food, alcohol)"
Scabies,"intense itching, especially at night, pimple-like rash, tiny burrows made of small blisters or bumps on the skin, especially in skin folds","prescription scabicide creams or lotions (permethrin), oral medication (ivermectin), washing all linens and clothing in hot water"
Vitamin B12 Deficiency Anemia,"fatigue, weakness, pale or jaundiced skin, shortness of breath, dizziness, tingling or numbness in hands and feet, difficulty with balance, sore tongue, cognitive problems","vitamin B12 injections or high-dose oral supplements"
Vitamin D Deficiency,"often asymptomatic, bone pain, muscle weakness, fatigue, mood changes","vitamin D supplements, increased sun exposure, consuming vitamin D-rich foods"
Tetanus,"jaw cramping (lockjaw), sudden, involuntary muscle spasms, painful muscle stiffness all over the body, trouble swallowing, seizures","emergency medical care, tetanus immune globulin, tetanus vaccine, muscle relaxants, antibiotics"
Norovirus Infection,"sudden onset of severe vomiting, watery diarrhea, nausea, stomach cramps, low-grade fever, muscle pain","aggressive rehydration, rest, isolation to prevent spreading, anti-nausea medication in some cases"
Influenza (Seasonal Flu),"abrupt onset of fever, myalgia (muscle aches), headache, malaise, non-productive cough, sore throat, and rhinitis","supportive care including rest and fluids, analgesics, antiviral medications like oseltamivir"
Food Poisoning (E. coli),"watery diarrhea which may become bloody, abdominal cramps, nausea and vomiting, sometimes fever","rehydration is critical, rest, avoid anti-diarrheal medication as it can slow toxin removal, medical attention if bloody diarrhea or severe dehydration"
Strep Throat,"sudden sore throat, pain when swallowing, fever, red and swollen tonsils sometimes with white patches, tiny red spots on the roof of the mouth, swollen lymph nodes in the neck","antibiotics (penicillin or amoxicillin), pain relievers, rest, hydration"
Tonsillitis,"swollen, red tonsils, white or yellow coating on tonsils, sore throat, difficulty swallowing, fever, swollen neck glands","rest, fluids, salt water gargles, pain relievers, antibiotics if bacterial"
Ear Infection (Otitis Media),"ear pain, fluid drainage from the ear, diminished hearing, fever, fussiness in infants","pain relievers, warm compress, antibiotics if bacterial and persistent"
Sleep Apnea,"loud snoring, episodes in which you stop breathing during sleep, gasping for air during sleep, waking up with a dry mouth, morning headache, excessive daytime sleepiness (hypersomnia)","Continuous Positive Airway Pressure (CPAP) machine, lifestyle changes (weight loss), oral appliances, surgery"
Restless Legs Syndrome (RLS),"an uncontrollable urge to move the legs, usually because of an uncomfortable sensation, symptoms worsen at rest and in the evening","lifestyle changes (regular exercise, sleep schedule), iron supplements if deficient, medications affecting dopamine"
Insomnia,"difficulty falling asleep, difficulty staying asleep, waking up too early, not feeling well-rested after a night's sleep, daytime tiredness or sleepiness, irritability","cognitive behavioral therapy for insomnia (CBT-I), sleep hygiene improvement, prescription sleep medications (short-term)"
Carpal Tunnel Syndrome,"numbness, tingling, and pain in the hand and forearm, particularly in the thumb, index, and middle fingers, weakness in hand strength","wrist splinting, NSAIDs, corticosteroid injections, avoiding repetitive wrist motions, surgery in severe cases"
Bursitis,"joint pain, stiffness, and swelling, pain with movement or pressure, redness and warmth over the joint","rest, ice, pain relievers, corticosteroid injections, physical therapy"
Tendinitis,"a dull ache, tenderness, and mild swelling near the affected tendon, pain that worsens with activity","rest, ice, compression, elevation (RICE), pain relievers, physical therapy"
Plantar Fasciitis,"stabbing pain in the bottom of your foot near the heel, pain is usually worst with the first few steps after awakening","rest, ice, stretching exercises, supportive shoes or orthotics, physical therapy"
Conjunctivitis (Pink Eye),"redness in one or both eyes, itchiness in one or both eyes, a gritty feeling in one or both eyes, discharge that forms a crust overnight, tearing","antibiotic eye drops (if bacterial), antihistamine eye drops (if allergic), artificial tears, warm or cool compresses"
Stye,"a red, painful lump near the edge of the eyelid that looks like a boil or a pimple, swelling of the eyelid, tearing","warm compresses, gentle massage, antibiotic ointment (if persistent), avoid squeezing or popping"
Glaucoma,"gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","prescription eye drops to lower eye pressure, laser therapy, microsurgery"
Cataracts,"cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","surgery to remove the cloudy lens and replace it with a clear, artificial intraocular lens (IOL)"
Sinusitis (Sinus Infection),"pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored nasal discharge, reduced sense of smell and taste, headache","nasal saline rinses, decongestants, pain relievers, warm compresses, antibiotics (if bacterial and persistent)"
Bronchitis (Acute),"persistent cough that produces mucus, chest soreness, fatigue, mild headache, body aches, sore throat","rest, plenty of fluids, humidifier, cough medicine, pain relievers (antibiotics are rarely needed)"
Cellulitis,"red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","oral or intravenous antibiotics, keeping the affected area elevated and clean"
Shingles (Herpes Zoster),"pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","antiviral drugs (acyclovir, valacyclovir), pain relievers, topical treatments for itching"
Lyme Disease,"bull's-eye rash (erythema migrans), fever, chills, fatigue, body aches, headache, neck stiffness","antibiotics (doxycycline, amoxicillin), supportive care for symptoms"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","nonsteroidal anti-inflammatory drugs (NSAIDs), colchicine, corticosteroids, lifestyle changes to lower uric acid"
Endometriosis,"painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","pain medication, hormone therapy (birth control pills), surgery to remove endometrial tissue"
Polycystic Ovary Syndrome (PCOS),"irregular menstrual periods, excess androgen (male hormone) levels causing excess facial and body hair, severe acne, and male-pattern baldness, polycystic ovaries","lifestyle changes (diet, exercise), hormonal birth control to regulate periods, medications to manage symptoms like hair growth or insulin resistance"
Mononucleosis (Mono),"extreme fatigue, fever, sore throat, swollen lymph nodes in neck and armpits, headache, skin rash, swollen spleen","rest, hydration, over-the-counter pain relievers (avoid aspirin), gargling with salt water"
Crohn's Disease,"diarrhea, fever, fatigue, abdominal pain and cramping, blood in stool, mouth sores, reduced appetite and weight loss","anti-inflammatory drugs, immune system suppressors, biologics, nutritional therapy, surgery"
Ulcerative Colitis,"diarrhea, often with blood or pus, abdominal pain and cramping, rectal pain, urgency to defecate, fatigue, weight loss","anti-inflammatory drugs (5-ASA), corticosteroids, immune suppressors, biologics, surgery (colectomy)"
Major Depressive Disorder,"persistent sad or empty mood, loss of interest or pleasure in activities, significant weight change, insomnia or hypersomnia, fatigue, feelings of worthlessness, difficulty concentrating, suicidal thoughts","psychotherapy (CBT, interpersonal therapy), antidepressant medications (SSRIs, SNRIs), lifestyle changes"
Generalized Anxiety Disorder,"excessive, uncontrollable worry about various topics, restlessness, feeling on edge, easily fatigued, difficulty concentrating, irritability, muscle tension, sleep disturbance","psychotherapy (CBT), anti-anxiety medications (SSRIs, buspirone), relaxation techniques"
Bipolar Disorder,"episodes of mania (high energy, racing thoughts, impulsivity) alternating with episodes of depression (low energy, sadness, hopelessness)","mood stabilizers (lithium, valproic acid), antipsychotics, antidepressants (used with caution), psychotherapy"
Obsessive-Compulsive Disorder (OCD),"recurrent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety, such as hand washing, checking, or counting","psychotherapy (Exposure and Response Prevention - ERP), SSRIs"
Panic Disorder,"recurrent unexpected panic attacks, which are abrupt surges of intense fear or discomfort, followed by persistent concern about having more attacks","psychotherapy (CBT), SSRIs, SNRIs, benzodiazepines (for short-term use)"
Schizophrenia,"hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized speech, disorganized or catatonic behavior, negative symptoms (lack of emotion, social withdrawal)","antipsychotic medications, psychotherapy, social skills training, family support"
Parkinson's Disease,"tremor at rest (pill-rolling), slowness of movement (bradykinesia), limb rigidity, gait and balance problems, shuffling walk","medications to increase dopamine (Levodopa), physical and occupational therapy, deep brain stimulation"
Alzheimer's Disease,"progressive memory loss, difficulty with problem-solving and planning, confusion with time or place, trouble understanding visual images, problems with words in speaking or writing, personality changes","medications to manage symptoms (cholinesterase inhibitors, memantine), supportive care, creating a safe environment"
Epilepsy,"recurrent, unprovoked seizures, which can manifest as temporary confusion, staring spells, uncontrollable jerking movements, or loss of consciousness","anti-seizure medications, vagus nerve stimulation, ketogenic diet, surgery to remove seizure focus"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, partial or complete loss of vision, tingling or pain, electric-shock sensations with neck movements, fatigue, dizziness, problems with bowel and bladder function","disease-modifying therapies (DMTs), corticosteroids for relapses, physical therapy, symptom management"
Systemic Lupus Erythematosus (Lupus),"fatigue, fever, joint pain, butterfly-shaped rash on the face, skin lesions that worsen with sun exposure, shortness of breath, chest pain, dry eyes","anti-inflammatory drugs (NSAIDs), antimalarial drugs (hydroxychloroquine), corticosteroids, immunosuppressants"
Meningitis (Bacterial),"sudden high fever, severe, persistent headache, stiff neck (nuchal rigidity), nausea, vomiting, confusion, sensitivity to light (photophobia)","immediate emergency medical attention, high-dose intravenous antibiotics"
Sepsis,"high heart rate, low blood pressure, fever or low body temperature, shivering, confusion or disorientation, shortness of breath, extreme pain or discomfort, clammy or sweaty skin","immediate emergency medical attention, broad-spectrum antibiotics, intravenous fluids, vasopressors to support blood pressure"
Chickenpox (Varicella),"itchy rash of small, fluid-filled blisters, fever, loss of appetite, headache, tiredness","supportive care, calamine lotion and oatmeal baths for itching, pain relievers (avoid aspirin in children), antiviral medication for high-risk individuals"
"Hand, Foot, and Mouth Disease","fever, sore throat, feeling unwell, painful, red, blister-like lesions on the tongue, gums, and inside of the cheeks, a red rash on the hands and soles of the feet","supportive care, pain relievers, numbing mouthwashes or sprays, hydration"
Celiac Disease,"diarrhea, fatigue, weight loss, bloating and gas, abdominal pain, nausea, constipation, skin rash (dermatitis herpetiformis)","strict lifelong gluten-free diet, vitamin and mineral supplements"
Pancreatitis (Acute),"upper abdominal pain that radiates to your back, abdominal pain that feels worse after eating, fever, rapid pulse, nausea, vomiting, tenderness when touching the abdomen","hospitalization for IV fluids, pain medication, bowel rest (no food by mouth), treating the underlying cause"
Deep Vein Thrombosis (DVT),"swelling in the affected leg, pain or tenderness in the leg, a feeling of warmth in the area, red or discolored skin on the leg","anticoagulant medications (blood thinners), thrombolytics, compression stockings"
Peripheral Artery Disease (PAD),"painful cramping in your hip, thigh or calf muscles after activity (claudication), leg numbness or weakness, coldness in your lower leg or foot, sores on your toes, feet or legs that won't heal","lifestyle changes (smoking cessation, exercise), medications to lower cholesterol and blood pressure, angioplasty or bypass surgery"
Rosacea,"facial redness and flushing, visible small blood vessels, red bumps or pimples, eye irritation, thickened skin (rhinophyma)","topical medications, oral antibiotics, laser therapy, avoiding triggers (sun, spicy food, alcohol)"
Scabies,"intense itching, especially at night, pimple-like rash, tiny burrows made of small blisters or bumps on the skin, especially in skin folds","prescription scabicide creams or lotions (permethrin), oral medication (ivermectin), washing all linens and clothing in hot water"
Vitamin B12 Deficiency Anemia,"fatigue, weakness, pale or jaundiced skin, shortness of breath, dizziness, tingling or numbness in hands and feet, difficulty with balance, sore tongue, cognitive problems","vitamin B12 injections or high-dose oral supplements"
Vitamin D Deficiency,"often asymptomatic, bone pain, muscle weakness, fatigue, mood changes","vitamin D supplements, increased sun exposure, consuming vitamin D-rich foods"
Tetanus,"jaw cramping (lockjaw), sudden, involuntary muscle spasms, painful muscle stiffness all over the body, trouble swallowing, seizures","emergency medical care, tetanus immune globulin, tetanus vaccine, muscle relaxants, antibiotics"
Norovirus Infection,"sudden onset of severe vomiting, watery diarrhea, nausea, stomach cramps, low-grade fever, muscle pain","aggressive rehydration, rest, isolation to prevent spreading, anti-nausea medication in some cases"
Influenza (Seasonal Flu),"abrupt onset of fever, myalgia (muscle aches), headache, malaise, non-productive cough, sore throat, and rhinitis","supportive care including rest and fluids, analgesics, antiviral medications like oseltamivir"
Food Poisoning (E. coli),"watery diarrhea which may become bloody, abdominal cramps, nausea and vomiting, sometimes fever","rehydration is critical, rest, avoid anti-diarrheal medication as it can slow toxin removal, medical attention if bloody diarrhea or severe dehydration"
Strep Throat,"sudden sore throat, pain when swallowing, fever, red and swollen tonsils sometimes with white patches, tiny red spots on the roof of the mouth, swollen lymph nodes in the neck","antibiotics (penicillin or amoxicillin), pain relievers, rest, hydration"
Tonsillitis,"swollen, red tonsils, white or yellow coating on tonsils, sore throat, difficulty swallowing, fever, swollen neck glands","rest, fluids, salt water gargles, pain relievers, antibiotics if bacterial"
Ear Infection (Otitis Media),"ear pain, fluid drainage from the ear, diminished hearing, fever, fussiness in infants","pain relievers, warm compress, antibiotics if bacterial and persistent"
Sleep Apnea,"loud snoring, episodes in which you stop breathing during sleep, gasping for air during sleep, waking up with a dry mouth, morning headache, excessive daytime sleepiness (hypersomnia)","Continuous Positive Airway Pressure (CPAP) machine, lifestyle changes (weight loss), oral appliances, surgery"
Restless Legs Syndrome (RLS),"an uncontrollable urge to move the legs, usually because of an uncomfortable sensation, symptoms worsen at rest and in the evening","lifestyle changes (regular exercise, sleep schedule), iron supplements if deficient, medications affecting dopamine"
Insomnia,"difficulty falling asleep, difficulty staying asleep, waking up too early, not feeling well-rested after a night's sleep, daytime tiredness or sleepiness, irritability","cognitive behavioral therapy for insomnia (CBT-I), sleep hygiene improvement, prescription sleep medications (short-term)"
Carpal Tunnel Syndrome,"numbness, tingling, and pain in the hand and forearm, particularly in the thumb, index, and middle fingers, weakness in hand strength","wrist splinting, NSAIDs, corticosteroid injections, avoiding repetitive wrist motions, surgery in severe cases"
Bursitis,"joint pain, stiffness, and swelling, pain with movement or pressure, redness and warmth over the joint","rest, ice, pain relievers, corticosteroid injections, physical therapy"
Tendinitis,"a dull ache, tenderness, and mild swelling near the affected tendon, pain that worsens with activity","rest, ice, compression, elevation (RICE), pain relievers, physical therapy"
Plantar Fasciitis,"stabbing pain in the bottom of your foot near the heel, pain is usually worst with the first few steps after awakening","rest, ice, stretching exercises, supportive shoes or orthotics, physical therapy"